dataset	cell	class	ngenes	reads
FLASH-seq	ZHA8833A9	single	1	18266489
FLASH-seq	ZHA8833A9	single	2	5527245
FLASH-seq	ZHA8833A9	single	3	325153
FLASH-seq	ZHA8833A9	single	4	20285
FLASH-seq	ZHA8833A9	single	5	772
FLASH-seq	ZHA8833A9	single	6	18
FLASH-seq	ZHA8833A9	single	7	1
FLASH-seq	ZHA8833A9	single	10	244
FLASH-seq	ZHA8833A9	single	15	56
FLASH-seq	ZHA8833A9	single	16	5
FLASH-seq	ZHA8833A9	single	19	67
FLASH-seq	ZHA8833A9	single	20	292
VASA own, 130 nt	001	multi	1	15278
VASA own, 130 nt	001	multi	2	10409
VASA own, 130 nt	001	multi	3	5906
VASA own, 130 nt	001	multi	4	2934
VASA own, 130 nt	001	multi	5	3222
VASA own, 130 nt	001	multi	6	2166
VASA own, 130 nt	001	multi	7	1440
VASA own, 130 nt	001	multi	8	498
VASA own, 130 nt	001	multi	9	755
VASA own, 130 nt	001	multi	10	165
VASA own, 130 nt	001	multi	11	144
VASA own, 130 nt	001	multi	12	377
VASA own, 130 nt	001	multi	13	108
VASA own, 130 nt	001	multi	14	17
VASA own, 130 nt	001	multi	15	148
VASA own, 130 nt	001	multi	16	11
VASA own, 130 nt	001	multi	17	36
VASA own, 130 nt	001	multi	18	11
VASA own, 130 nt	001	multi	19	3
VASA own, 130 nt	001	multi	20	20
VASA own, 130 nt	001	single	1	37427
VASA own, 130 nt	001	single	2	2541
VASA own, 130 nt	001	single	3	242
VASA own, 130 nt	001	single	4	31
VASA own, 130 nt	001	single	17	1
VASA own, 130 nt	001	single	20	7
VASA own, 130 nt	002	multi	1	55020
VASA own, 130 nt	002	multi	2	280860
VASA own, 130 nt	002	multi	3	79656
VASA own, 130 nt	002	multi	4	39656
VASA own, 130 nt	002	multi	5	46146
VASA own, 130 nt	002	multi	6	20808
VASA own, 130 nt	002	multi	7	32890
VASA own, 130 nt	002	multi	8	8649
VASA own, 130 nt	002	multi	9	17989
