dataset	bin	coverage	genes
FLASH-seq	52	0.01087977	11377
FLASH-seq	53	0.01075131	11377
FLASH-seq	54	0.01075501	11377
FLASH-seq	55	0.01080494	11377
FLASH-seq	56	0.01076520	11377
FLASH-seq	57	0.01082306	11377
FLASH-seq	58	0.01079078	11377
FLASH-seq	59	0.01089438	11377
FLASH-seq	60	0.01094046	11377
FLASH-seq	61	0.01088396	11377
FLASH-seq	62	0.01091085	11377
FLASH-seq	63	0.01086653	11377
FLASH-seq	64	0.01084427	11377
FLASH-seq	65	0.01080878	11377
FLASH-seq	66	0.01080658	11377
FLASH-seq	67	0.01081652	11377
FLASH-seq	68	0.01077522	11377
FLASH-seq	69	0.01071078	11377
FLASH-seq	70	0.01081764	11377
FLASH-seq	71	0.01076777	11377
FLASH-seq	72	0.01061275	11377
FLASH-seq	73	0.01047852	11377
FLASH-seq	74	0.01066909	11377
FLASH-seq	75	0.01056054	11377
FLASH-seq	76	0.01047339	11377
FLASH-seq	77	0.01038681	11377
FLASH-seq	78	0.01039534	11377
FLASH-seq	79	0.01029763	11377
FLASH-seq	80	0.01033262	11377
FLASH-seq	81	0.01041716	11377
FLASH-seq	82	0.01044363	11377
FLASH-seq	83	0.01031792	11377
FLASH-seq	84	0.01029334	11377
FLASH-seq	85	0.01018105	11377
FLASH-seq	86	0.01023084	11377
FLASH-seq	87	0.01000335	11377
FLASH-seq	88	0.00986564	11377
FLASH-seq	89	0.00976865	11377
FLASH-seq	90	0.00960736	11377
FLASH-seq	91	0.00953270	11377
FLASH-seq	92	0.00932682	11377
FLASH-seq	93	0.00927119	11377
FLASH-seq	94	0.00912499	11377
FLASH-seq	95	0.00882935	11377
FLASH-seq	96	0.00833015	11377
FLASH-seq	97	0.00774695	11377
FLASH-seq	98	0.00675622	11377
FLASH-seq	99	0.00539718	11377
FLASH-seq	100	0.00372220	11377
