level	key	biotype	reads	UFIs	transcripts	read_per_UFI	read_per_transcript	pct_of_reads__or__rRNApct_strandedY	pct_of_UFIs__or__rRNApct_strandedN	pct_of_transcripts__or__fwd_share_of_ribo	share_ratio_read_over_UFI__or__n_over_y	genes_det_reads	genes_det_UFIs
biotype	TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene	TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene	5	1	1	5	5	1.22191e-05	6.57192e-06	6.05327e-06	1.85928		
biotype	ProcessedPseudogene-ProteinCoding-UnitaryPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-UnitaryPseudogene-lncRNA	5	3	3	1.66667	1.66667	1.22191e-05	1.97158e-05	1.81598e-05	0.619762		
biotype	ProcessedPseudogene-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	ProcessedPseudogene-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	4	3	3.00024	1.33333	1.33322	9.77526e-06	1.97158e-05	1.81613e-05	0.495809		
biotype	ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	ProteinCoding-TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	4	2	2	2	2	9.77526e-06	1.31438e-05	1.21065e-05	0.743714		
biotype	TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	4	1	1	4	4	9.77526e-06	6.57192e-06	6.05327e-06	1.48743		
biotype	ProteinCoding-TranscribedUnprocessedPseudogene-UnitaryPseudogene-lncRNA	ProteinCoding-TranscribedUnprocessedPseudogene-UnitaryPseudogene-lncRNA	4	4	4	1	1	9.77526e-06	2.62877e-05	2.42131e-05	0.371857		
biotype	ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-UnprocessedPseudogene-lncRNA	3	3	3	1	1	7.33144e-06	1.97158e-05	1.81598e-05	0.371857		
biotype	ProteinCoding-TrCGene-lncRNA	ProteinCoding-TrCGene-lncRNA	2	2	2	1	1	4.88763e-06	1.31438e-05	1.21065e-05	0.371857		
biotype	ProcessedPseudogene-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	ProcessedPseudogene-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-lncRNA	2	2	2	1	1	4.88763e-06	1.31438e-05	1.21065e-05	0.371857		
biotype	IgVGene-IgVPseudogene	IgVGene-IgVPseudogene	2	2	2	1	1	4.88763e-06	1.31438e-05	1.21065e-05	0.371857		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene	ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene	2	1	1	2	2	4.88763e-06	6.57192e-06	6.05327e-06	0.743714		
biotype	TranscribedUnprocessedPseudogene-UnitaryPseudogene-lncRNA	TranscribedUnprocessedPseudogene-UnitaryPseudogene-lncRNA	2	1	1	2	2	4.88763e-06	6.57192e-06	6.05327e-06	0.743714		
