dataset	cell	class	ngenes	reads
own library, 75 nt	005	multi	16	737
own library, 75 nt	005	multi	17	776
own library, 75 nt	005	multi	18	710
own library, 75 nt	005	multi	19	364
own library, 75 nt	005	multi	20	2188
own library, 75 nt	005	single	1	915275
own library, 75 nt	005	single	2	78923
own library, 75 nt	005	single	3	6827
own library, 75 nt	005	single	4	382
own library, 75 nt	005	single	5	4
own library, 75 nt	005	single	6	4
own library, 75 nt	005	single	7	4
own library, 75 nt	005	single	8	2
own library, 75 nt	005	single	9	2
own library, 75 nt	005	single	11	2
own library, 75 nt	005	single	13	1
own library, 75 nt	005	single	14	3
own library, 75 nt	005	single	15	9
own library, 75 nt	005	single	16	2
own library, 75 nt	005	single	17	2
own library, 75 nt	005	single	18	4
own library, 75 nt	005	single	19	3
own library, 75 nt	005	single	20	88
own library, 75 nt	006	multi	1	135512
own library, 75 nt	006	multi	2	410124
own library, 75 nt	006	multi	3	95185
own library, 75 nt	006	multi	4	84829
own library, 75 nt	006	multi	5	129902
own library, 75 nt	006	multi	6	20692
own library, 75 nt	006	multi	7	84824
own library, 75 nt	006	multi	8	11842
own library, 75 nt	006	multi	9	26186
own library, 75 nt	006	multi	10	13444
own library, 75 nt	006	multi	11	6323
own library, 75 nt	006	multi	12	17075
own library, 75 nt	006	multi	13	15734
own library, 75 nt	006	multi	14	2964
own library, 75 nt	006	multi	15	7769
own library, 75 nt	006	multi	16	1268
own library, 75 nt	006	multi	17	1956
own library, 75 nt	006	multi	18	916
own library, 75 nt	006	multi	19	618
own library, 75 nt	006	multi	20	3077
own library, 75 nt	006	single	1	1446469
own library, 75 nt	006	single	2	103424
own library, 75 nt	006	single	3	6762
own library, 75 nt	006	single	4	590
own library, 75 nt	006	single	5	3
own library, 75 nt	006	single	6	1
own library, 75 nt	006	single	8	2
own library, 75 nt	006	single	9	1
own library, 75 nt	006	single	12	8
own library, 75 nt	006	single	13	6
own library, 75 nt	006	single	14	4
own library, 75 nt	006	single	15	9
own library, 75 nt	006	single	16	13
own library, 75 nt	006	single	17	2
own library, 75 nt	006	single	18	2
own library, 75 nt	006	single	19	1
own library, 75 nt	006	single	20	105
own library, 75 nt	007	multi	1	237084
own library, 75 nt	007	multi	2	612816
own library, 75 nt	007	multi	3	183394
own library, 75 nt	007	multi	4	170964
