dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
own library, 75 nt	014	multi	91054	66600	166655	40434	26166	6995	44925	0	14680	0	0
own library, 75 nt	014	single	69941	32652	38338	31199	1453	13993	17541	3	1115	0	0
own library, 75 nt	015	multi	106663	80320	219124	45728	34592	10963	52929	1	16427	0	0
own library, 75 nt	015	single	98855	53665	64092	51541	2124	27900	23768	5	1992	0	0
own library, 75 nt	016	multi	48001	35570	89086	22878	12692	3447	25962	1	6160	0	0
own library, 75 nt	016	single	38167	18860	21885	18259	601	7536	10734	1	589	0	0
published, mouse wells	002	multi	6599	5018	18939	1644	3374	2618	765	0	1635	419	3564
published, mouse wells	002	single	37098	32659	40486	32150	509	20757	10628	2	1272	1957	2416
published, mouse wells	004	multi	60931	47804	168396	16100	31704	25418	7762	23	14601	2675	24251
published, mouse wells	004	single	405624	375745	461478	370683	5062	226005	140391	41	9308	9514	11572
published, mouse wells	006	multi	56783	45026	159484	15577	29449	22674	7409	9	14934	2585	25430
published, mouse wells	006	single	381364	348043	427126	342274	5769	200754	133672	27	13590	10005	12193
published, mouse wells	008	multi	39850	33261	133898	8288	24973	13268	3187	6	16800	1863	24527
published, mouse wells	008	single	170646	148888	186233	144891	3997	89516	53320	5	6047	10804	13257
published, mouse wells	010	multi	57956	49872	188500	12453	37419	21753	4682	8	23429	1431	23495
published, mouse wells	010	single	255988	232112	287287	225828	6284	140835	82208	49	9020	5802	7023
published, mouse wells	012	multi	143939	118708	435995	32587	86121	49821	15603	29	53255	4257	73949
published, mouse wells	012	single	711141	638751	791266	624671	14080	375241	237784	108	25618	20232	24901
published, mouse wells	014	multi	12209	9427	35881	2441	6986	4549	868	0	4010	698	6008
published, mouse wells	014	single	41363	32093	40711	31207	886	21767	9038	11	1277	4848	5882
published, mouse wells	016	multi	36289	27303	95366	10111	17192	12787	5771	2	8743	1596	15911
published, mouse wells	016	single	248273	222770	271152	219072	3698	122301	91300	4	9165	5202	6297
published, mouse wells	018	multi	56965	47975	213935	12084	35891	19730	3714	16	24515	2399	48169
published, mouse wells	018	single	221730	190628	238947	184853	5775	118378	64097	26	8127	16479	20147
published, mouse wells	020	multi	132768	109777	452061	30612	79165	43587	12216	14	53960	5590	80898
published, mouse wells	020	single	584639	506805	628088	493587	13218	290095	194576	48	22086	29928	36781
published, mouse wells	022	multi	47234	36117	117870	13864	22253	17430	8259	1	10427	1918	20381
published, mouse wells	022	single	379644	333962	400204	328311	5651	166814	155037	9	12102	7904	9496
published, mouse wells	026	multi	21518	16329	51442	6427	9902	9230	3102	4	3993	1116	7337
published, mouse wells	026	single	136538	124164	150749	122365	1799	70889	48481	33	4761	3816	4576
published, mouse wells	032	multi	17225	13700	42087	5320	8380	7715	2759	1	3225	690	5188
published, mouse wells	032	single	124106	113656	137776	112194	1462	63165	45932	8	4551	1784	2115
published, mouse wells	034	multi	20248	15997	49779	5814	10183	9608	2868	0	3521	726	4125
published, mouse wells	034	single	135527	123253	148723	121642	1611	67708	51099	4	4442	1675	2076
published, mouse wells	036	multi	36890	28100	88133	10993	17107	15766	5644	3	6687	1320	9704
published, mouse wells	036	single	243599	221282	268276	218475	2807	121558	92058	9	7657	3503	4209
published, mouse wells	038	multi	10781	7600	23124	3383	4217	3643	2193	0	1764	625	3440
published, mouse wells	038	single	84805	73248	87847	72310	938	38450	32158	0	2640	1894	2369
published, mouse wells	040	multi	5023	3895	12111	1462	2433	2122	819	1	953	255	1528
published, mouse wells	040	single	33475	29431	35701	29066	365	16170	12322	0	939	604	736
published, mouse wells	042	multi	15109	11511	39269	4059	7452	6024	2054	0	3433	721	7166
published, mouse wells	042	single	96844	85939	104760	84671	1268	49295	33443	9	3192	2372	2910
published, mouse wells	044	multi	18107	14814	45818	5177	9637	8915	2379	2	3518	563	4630
published, mouse wells	044	single	115167	107483	131872	106089	1394	63965	39652	2	3864	1842	2218
published, mouse wells	046	multi	15141	11161	35735	3377	7784	7449	1034	0	2678	316	1134
published, mouse wells	046	single	43808	31520	41291	31092	428	27159	3283	5	1073	923	1128
published, mouse wells	050	multi	14704	11793	36462	3943	7850	7551	1573	0	2669	402	2597
published, mouse wells	050	single	73148	64793	78919	63828	965	39944	22503	0	2346	1148	1405
published, mouse wells	054	multi	8616	6161	18250	2479	3682	3356	1387	0	1418	574	3264
published, mouse wells	054	single	57319	48978	58066	48172	806	24163	23098	2	1715	2540	3097
published, mouse wells	056	multi	107961	87221	317899	26044	61177	41959	11881	10	33371	3838	51178
published, mouse wells	056	single	602544	546031	672369	534612	11419	317175	207147	64	21645	12468	15413
published, mouse wells	058	multi	13442	10968	33667	3954	7014	6857	1653	2	2456	309	2073
