dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
VASA published, mouse	148	single	188001	176678	213504	173274	3404	104701	65087	11	6879	0	0
VASA published, mouse	150	multi	17445	16090	66414	4811	11279	7050	3578	0	5462	0	0
VASA published, mouse	150	single	136840	127362	153273	124012	3350	67879	53887	1	5595	0	0
VASA published, mouse	154	multi	45829	42835	179561	12492	30343	19940	8702	1	14192	0	0
VASA published, mouse	154	single	310066	293662	354816	287880	5782	170699	111524	7	11432	0	0
VASA published, mouse	156	multi	29246	26063	103016	8098	17965	11675	6156	0	8232	0	0
VASA published, mouse	156	single	160558	146759	178105	143616	3143	85368	55665	6	5720	0	0
VASA published, mouse	158	multi	30154	26340	108795	8586	17754	11365	6361	7	8607	0	0
VASA published, mouse	158	single	194155	179234	216105	175619	3615	106086	66562	3	6583	0	0
VASA published, mouse	160	multi	31148	29431	148865	5920	23511	14256	4074	1	11100	0	0
VASA published, mouse	160	single	126112	120890	152113	117519	3371	80055	35428	1	5406	0	0
VASA published, mouse	162	multi	24546	21844	87775	6073	15771	10418	4687	0	6739	0	0
VASA published, mouse	162	single	132135	122297	149809	119677	2620	76208	41328	0	4761	0	0
VASA published, mouse	164	multi	16836	15124	59826	4462	10662	7369	3307	0	4448	0	0
VASA published, mouse	164	single	91790	84845	102068	83108	1737	49919	31663	0	3263	0	0
VASA published, mouse	166	multi	12353	11382	46039	3130	8252	5958	1836	0	3588	0	0
VASA published, mouse	166	single	57568	52443	64684	51431	1012	36111	14262	0	2070	0	0
VASA published, mouse	170	multi	11570	10656	42533	3305	7351	4726	2580	0	3350	0	0
VASA published, mouse	170	single	73480	68069	82013	66737	1332	37881	27600	7	2581	0	0
VASA published, mouse	172	multi	21816	19974	79743	6004	13970	9862	4190	1	5921	0	0
VASA published, mouse	172	single	127338	117132	139735	114705	2427	65543	47256	0	4333	0	0
VASA published, mouse	174	multi	11285	10320	39799	3365	6955	4800	2682	1	2837	0	0
VASA published, mouse	174	single	91867	84679	99926	82928	1751	42601	38635	1	3442	0	0
VASA published, mouse	176	multi	23295	21451	90380	5667	15784	10879	3403	2	7167	0	0
VASA published, mouse	176	single	107746	101701	125020	99576	2125	67774	30020	1	3906	0	0
VASA published, mouse	178	multi	24584	21848	86847	6817	15031	9999	5099	0	6750	0	0
VASA published, mouse	178	single	142382	131621	158792	129176	2445	77025	49581	7	5008	0	0
VASA published, mouse	180	multi	41820	37894	152264	12093	25801	17716	9148	2	11028	0	0
VASA published, mouse	180	single	253613	235553	283175	230699	4854	135483	91354	12	8704	0	0
VASA published, mouse	182	multi	20035	18277	70640	5678	12599	8572	4085	1	5619	0	0
VASA published, mouse	182	single	116666	109274	131153	107109	2165	66362	38658	5	4249	0	0
VASA published, mouse	184	multi	33491	31135	123727	9045	22090	15008	6577	0	9550	0	0
VASA published, mouse	184	single	219754	210116	255840	206474	3642	126893	75356	0	7867	0	0
VASA published, mouse	186	multi	81787	61311	238890	21377	39934	27436	14240	3	19632	0	0
VASA published, mouse	186	single	413962	381467	460503	373038	8429	214685	151221	2	15559	0	0
