dataset	cell	class	biotype	reads
FLASH-seq	ZHA8833A5	multi	rRNA	86
FLASH-seq	ZHA8833A5	multi	pseudogene	67
FLASH-seq	ZHA8833A5	multi	TrVGene	8
FLASH-seq	ZHA8833A5	multi	ribozyme	8
FLASH-seq	ZHA8833A5	multi	IgVPseudogene	2
FLASH-seq	ZHA8833A5	multi	MtRrna	1
FLASH-seq	ZHA8833A6	multi	ProteinCoding	2716328
FLASH-seq	ZHA8833A6	multi	lncRNA	1557816
FLASH-seq	ZHA8833A6	multi	ProcessedPseudogene	1233064
FLASH-seq	ZHA8833A6	multi	TranscribedProcessedPseudogene	556445
FLASH-seq	ZHA8833A6	multi	UnprocessedPseudogene	231965
FLASH-seq	ZHA8833A6	multi	miRNA	48081
FLASH-seq	ZHA8833A6	multi	TranscribedUnprocessedPseudogene	40115
FLASH-seq	ZHA8833A6	multi	MiscRna	37463
FLASH-seq	ZHA8833A6	multi	TEC	31194
FLASH-seq	ZHA8833A6	multi	TranscribedUnitaryPseudogene	15608
FLASH-seq	ZHA8833A6	multi	MtTrna	7500
FLASH-seq	ZHA8833A6	multi	UnitaryPseudogene	6236
FLASH-seq	ZHA8833A6	multi	tRNA	727
FLASH-seq	ZHA8833A6	multi	snoRNA	465
FLASH-seq	ZHA8833A6	multi	snRNA	113
FLASH-seq	ZHA8833A6	multi	pseudogene	53
FLASH-seq	ZHA8833A6	multi	rRNA	42
FLASH-seq	ZHA8833A6	multi	TrVGene	9
FLASH-seq	ZHA8833A6	multi	MtRrna	6
FLASH-seq	ZHA8833A6	multi	TrVPseudogene	4
FLASH-seq	ZHA8833A6	multi	ribozyme	3
FLASH-seq	ZHA8833A6	multi	TranslatedUnprocessedPseudogene	1
FLASH-seq	ZHA8833A6	multi	scaRNA	1
FLASH-seq	ZHA8833A6	single	ProteinCoding	18126149
FLASH-seq	ZHA8833A6	single	lncRNA	2573526
FLASH-seq	ZHA8833A6	single	TEC	89238
FLASH-seq	ZHA8833A6	single	ProcessedPseudogene	72077
FLASH-seq	ZHA8833A6	single	miRNA	62835
FLASH-seq	ZHA8833A6	single	TranscribedProcessedPseudogene	36573
FLASH-seq	ZHA8833A6	single	TranscribedUnprocessedPseudogene	12567
FLASH-seq	ZHA8833A6	single	snoRNA	5962
FLASH-seq	ZHA8833A6	single	MtTrna	3344
FLASH-seq	ZHA8833A6	single	TranscribedUnitaryPseudogene	2524
FLASH-seq	ZHA8833A6	single	UnprocessedPseudogene	1909
FLASH-seq	ZHA8833A6	single	MiscRna	1764
FLASH-seq	ZHA8833A6	single	UnitaryPseudogene	830
FLASH-seq	ZHA8833A6	single	snRNA	636
FLASH-seq	ZHA8833A6	single	tRNA	533
FLASH-seq	ZHA8833A6	single	MtRrna	337
FLASH-seq	ZHA8833A6	single	rRNA	218
FLASH-seq	ZHA8833A6	single	scaRNA	141
FLASH-seq	ZHA8833A6	single	ribozyme	129
FLASH-seq	ZHA8833A6	single	IgVGene	4
FLASH-seq	ZHA8833A6	single	TrCGene	3
FLASH-seq	ZHA8833A6	single	TranslatedUnprocessedPseudogene	1
FLASH-seq	ZHA8833A7	multi	ProteinCoding	2589648
FLASH-seq	ZHA8833A7	multi	lncRNA	1476804
FLASH-seq	ZHA8833A7	multi	ProcessedPseudogene	1160967
FLASH-seq	ZHA8833A7	multi	TranscribedProcessedPseudogene	524208
FLASH-seq	ZHA8833A7	multi	UnprocessedPseudogene	236913
FLASH-seq	ZHA8833A7	multi	miRNA	43542
FLASH-seq	ZHA8833A7	multi	TranscribedUnprocessedPseudogene	38488
FLASH-seq	ZHA8833A7	multi	MiscRna	33236
FLASH-seq	ZHA8833A7	multi	TEC	29837
FLASH-seq	ZHA8833A7	multi	TranscribedUnitaryPseudogene	13391
FLASH-seq	ZHA8833A7	multi	MtTrna	8700
FLASH-seq	ZHA8833A7	multi	UnitaryPseudogene	5552
FLASH-seq	ZHA8833A7	multi	tRNA	624
