dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	34	rRNA	56	67540
FLASH-seq	multi	34	snRNA	5	67540
FLASH-seq	multi	34	snoRNA	19	67540
FLASH-seq	multi	34	tRNA	20	67540
FLASH-seq	multi	35	MiscRna	886	86998
FLASH-seq	multi	35	MtTrna	57	86998
FLASH-seq	multi	35	ProcessedPseudogene	49199	86998
FLASH-seq	multi	35	ProteinCoding	85309	86998
FLASH-seq	multi	35	TEC	1172	86998
FLASH-seq	multi	35	TranscribedProcessedPseudogene	21104	86998
FLASH-seq	multi	35	TranscribedUnitaryPseudogene	480	86998
FLASH-seq	multi	35	TranscribedUnprocessedPseudogene	1100	86998
FLASH-seq	multi	35	UnitaryPseudogene	336	86998
FLASH-seq	multi	35	UnprocessedPseudogene	3741	86998
FLASH-seq	multi	35	lncRNA	51244	86998
FLASH-seq	multi	35	miRNA	1218	86998
FLASH-seq	multi	35	pseudogene	40	86998
FLASH-seq	multi	35	rRNA	75	86998
FLASH-seq	multi	35	ribozyme	1	86998
FLASH-seq	multi	35	snRNA	1	86998
FLASH-seq	multi	35	snoRNA	16	86998
FLASH-seq	multi	35	tRNA	61	86998
FLASH-seq	multi	36	MiscRna	1725	134417
FLASH-seq	multi	36	MtRrna	2	134417
FLASH-seq	multi	36	MtTrna	70	134417
FLASH-seq	multi	36	ProcessedPseudogene	71553	134417
FLASH-seq	multi	36	ProteinCoding	131314	134417
FLASH-seq	multi	36	TEC	1623	134417
FLASH-seq	multi	36	TranscribedProcessedPseudogene	33588	134417
FLASH-seq	multi	36	TranscribedUnitaryPseudogene	973	134417
FLASH-seq	multi	36	TranscribedUnprocessedPseudogene	1597	134417
FLASH-seq	multi	36	UnitaryPseudogene	676	134417
FLASH-seq	multi	36	UnprocessedPseudogene	8854	134417
FLASH-seq	multi	36	lncRNA	80281	134417
FLASH-seq	multi	36	miRNA	1901	134417
FLASH-seq	multi	36	pseudogene	17	134417
FLASH-seq	multi	36	rRNA	71	134417
FLASH-seq	multi	36	snRNA	1	134417
FLASH-seq	multi	36	snoRNA	31	134417
FLASH-seq	multi	36	tRNA	38	134417
FLASH-seq	multi	37	MiscRna	2217	159673
FLASH-seq	multi	37	MtTrna	73	159673
