dataset	class	length	biotype	reads	reads_at_length
VASA own, 130 nt	single	80	TEC	187	97212
VASA own, 130 nt	single	80	TranscribedProcessedPseudogene	46	97212
VASA own, 130 nt	single	80	TranscribedUnitaryPseudogene	28	97212
VASA own, 130 nt	single	80	TranscribedUnprocessedPseudogene	39	97212
VASA own, 130 nt	single	80	UnitaryPseudogene	5	97212
VASA own, 130 nt	single	80	UnprocessedPseudogene	12	97212
VASA own, 130 nt	single	80	lncRNA	10710	97212
VASA own, 130 nt	single	80	miRNA	343	97212
VASA own, 130 nt	single	80	rRNA	166	97212
VASA own, 130 nt	single	80	ribozyme	3690	97212
VASA own, 130 nt	single	80	scaRNA	241	97212
VASA own, 130 nt	single	80	snRNA	973	97212
VASA own, 130 nt	single	80	snoRNA	3912	97212
VASA own, 130 nt	single	80	tRNA	76	97212
VASA own, 130 nt	single	81	MiscRna	1163	102229
VASA own, 130 nt	single	81	MtRrna	16	102229
VASA own, 130 nt	single	81	MtTrna	19	102229
VASA own, 130 nt	single	81	ProcessedPseudogene	190	102229
VASA own, 130 nt	single	81	ProteinCoding	87997	102229
VASA own, 130 nt	single	81	TEC	197	102229
VASA own, 130 nt	single	81	TranscribedProcessedPseudogene	65	102229
VASA own, 130 nt	single	81	TranscribedUnitaryPseudogene	39	102229
VASA own, 130 nt	single	81	TranscribedUnprocessedPseudogene	44	102229
VASA own, 130 nt	single	81	UnitaryPseudogene	4	102229
VASA own, 130 nt	single	81	UnprocessedPseudogene	15	102229
VASA own, 130 nt	single	81	lncRNA	13828	102229
VASA own, 130 nt	single	81	miRNA	320	102229
VASA own, 130 nt	single	81	rRNA	143	102229
VASA own, 130 nt	single	81	ribozyme	5683	102229
VASA own, 130 nt	single	81	scaRNA	172	102229
VASA own, 130 nt	single	81	snRNA	788	102229
VASA own, 130 nt	single	81	snoRNA	3584	102229
VASA own, 130 nt	single	81	tRNA	98	102229
VASA own, 130 nt	single	82	MiscRna	1094	102843
VASA own, 130 nt	single	82	MtRrna	20	102843
VASA own, 130 nt	single	82	MtTrna	44	102843
VASA own, 130 nt	single	82	ProcessedPseudogene	221	102843
VASA own, 130 nt	single	82	ProteinCoding	87975	102843
VASA own, 130 nt	single	82	TEC	164	102843
VASA own, 130 nt	single	82	TranscribedProcessedPseudogene	65	102843
VASA own, 130 nt	single	82	TranscribedUnitaryPseudogene	29	102843
VASA own, 130 nt	single	82	TranscribedUnprocessedPseudogene	59	102843
VASA own, 130 nt	single	82	UnitaryPseudogene	9	102843
VASA own, 130 nt	single	82	lncRNA	14122	102843
VASA own, 130 nt	single	82	miRNA	416	102843
VASA own, 130 nt	single	82	rRNA	172	102843
VASA own, 130 nt	single	82	ribozyme	6162	102843
VASA own, 130 nt	single	82	scaRNA	123	102843
VASA own, 130 nt	single	82	snRNA	874	102843
VASA own, 130 nt	single	82	snoRNA	3773	102843
VASA own, 130 nt	single	82	tRNA	63	102843
VASA own, 130 nt	single	83	MiscRna	926	106862
VASA own, 130 nt	single	83	MtRrna	19	106862
VASA own, 130 nt	single	83	MtTrna	13	106862
VASA own, 130 nt	single	83	ProcessedPseudogene	236	106862
VASA own, 130 nt	single	83	ProteinCoding	92027	106862
VASA own, 130 nt	single	83	TEC	181	106862
VASA own, 130 nt	single	83	TranscribedProcessedPseudogene	65	106862
VASA own, 130 nt	single	83	TranscribedUnitaryPseudogene	20	106862
VASA own, 130 nt	single	83	TranscribedUnprocessedPseudogene	53	106862
VASA own, 130 nt	single	83	UnitaryPseudogene	7	106862
VASA own, 130 nt	single	83	UnprocessedPseudogene	6	106862
VASA own, 130 nt	single	83	lncRNA	14270	106862
VASA own, 130 nt	single	83	miRNA	511	106862
VASA own, 130 nt	single	83	rRNA	186	106862
VASA own, 130 nt	single	83	ribozyme	4934	106862
VASA own, 130 nt	single	83	scaRNA	175	106862
VASA own, 130 nt	single	83	snRNA	926	106862
VASA own, 130 nt	single	83	snoRNA	3935	106862
VASA own, 130 nt	single	83	tRNA	58	106862
VASA own, 130 nt	single	84	MiscRna	1047	111856
VASA own, 130 nt	single	84	MtRrna	15	111856
VASA own, 130 nt	single	84	MtTrna	6	111856
VASA own, 130 nt	single	84	ProcessedPseudogene	298	111856
VASA own, 130 nt	single	84	ProteinCoding	94347	111856
VASA own, 130 nt	single	84	TEC	215	111856
VASA own, 130 nt	single	84	TranscribedProcessedPseudogene	56	111856
VASA own, 130 nt	single	84	TranscribedUnitaryPseudogene	24	111856
VASA own, 130 nt	single	84	TranscribedUnprocessedPseudogene	41	111856
VASA own, 130 nt	single	84	UnitaryPseudogene	10	111856
VASA own, 130 nt	single	84	UnprocessedPseudogene	6	111856
VASA own, 130 nt	single	84	lncRNA	17161	111856
VASA own, 130 nt	single	84	miRNA	518	111856
VASA own, 130 nt	single	84	rRNA	240	111856
VASA own, 130 nt	single	84	ribozyme	6671	111856
VASA own, 130 nt	single	84	scaRNA	128	111856
VASA own, 130 nt	single	84	snRNA	955	111856
VASA own, 130 nt	single	84	snoRNA	5107	111856
VASA own, 130 nt	single	84	tRNA	77	111856
VASA own, 130 nt	single	85	MiscRna	1053	111982
VASA own, 130 nt	single	85	MtRrna	28	111982
VASA own, 130 nt	single	85	MtTrna	6	111982
VASA own, 130 nt	single	85	ProcessedPseudogene	226	111982
VASA own, 130 nt	single	85	ProteinCoding	96548	111982
VASA own, 130 nt	single	85	TEC	225	111982
VASA own, 130 nt	single	85	TranscribedProcessedPseudogene	77	111982
VASA own, 130 nt	single	85	TranscribedUnitaryPseudogene	27	111982
VASA own, 130 nt	single	85	TranscribedUnprocessedPseudogene	66	111982
VASA own, 130 nt	single	85	UnitaryPseudogene	18	111982
VASA own, 130 nt	single	85	UnprocessedPseudogene	7	111982
VASA own, 130 nt	single	85	lncRNA	15824	111982
VASA own, 130 nt	single	85	miRNA	693	111982
VASA own, 130 nt	single	85	rRNA	264	111982
VASA own, 130 nt	single	85	ribozyme	4381	111982
VASA own, 130 nt	single	85	scaRNA	153	111982
VASA own, 130 nt	single	85	snRNA	750	111982
VASA own, 130 nt	single	85	snoRNA	4619	111982
VASA own, 130 nt	single	85	tRNA	92	111982
VASA own, 130 nt	single	86	MiscRna	1227	114795
VASA own, 130 nt	single	86	MtRrna	18	114795
VASA own, 130 nt	single	86	MtTrna	8	114795
VASA own, 130 nt	single	86	ProcessedPseudogene	340	114795
VASA own, 130 nt	single	86	ProteinCoding	98591	114795
VASA own, 130 nt	single	86	TEC	196	114795
VASA own, 130 nt	single	86	TranscribedProcessedPseudogene	71	114795
VASA own, 130 nt	single	86	TranscribedUnitaryPseudogene	20	114795
VASA own, 130 nt	single	86	TranscribedUnprocessedPseudogene	61	114795
VASA own, 130 nt	single	86	UnitaryPseudogene	13	114795
VASA own, 130 nt	single	86	UnprocessedPseudogene	8	114795
VASA own, 130 nt	single	86	lncRNA	15604	114795
VASA own, 130 nt	single	86	miRNA	605	114795
VASA own, 130 nt	single	86	rRNA	135	114795
VASA own, 130 nt	single	86	ribozyme	5460	114795
VASA own, 130 nt	single	86	scaRNA	203	114795
VASA own, 130 nt	single	86	snRNA	734	114795
VASA own, 130 nt	single	86	snoRNA	3954	114795
VASA own, 130 nt	single	86	tRNA	95	114795
VASA own, 130 nt	single	87	MiscRna	1097	113206
VASA own, 130 nt	single	87	MtRrna	13	113206
VASA own, 130 nt	single	87	MtTrna	21	113206
VASA own, 130 nt	single	87	ProcessedPseudogene	256	113206
VASA own, 130 nt	single	87	ProteinCoding	98096	113206
VASA own, 130 nt	single	87	TEC	198	113206
VASA own, 130 nt	single	87	TranscribedProcessedPseudogene	57	113206
VASA own, 130 nt	single	87	TranscribedUnitaryPseudogene	24	113206
VASA own, 130 nt	single	87	TranscribedUnprocessedPseudogene	48	113206
VASA own, 130 nt	single	87	UnitaryPseudogene	22	113206
VASA own, 130 nt	single	87	UnprocessedPseudogene	5	113206
VASA own, 130 nt	single	87	lncRNA	14462	113206
VASA own, 130 nt	single	87	miRNA	602	113206
VASA own, 130 nt	single	87	rRNA	123	113206
VASA own, 130 nt	single	87	ribozyme	4673	113206
VASA own, 130 nt	single	87	scaRNA	238	113206
VASA own, 130 nt	single	87	snRNA	848	113206
VASA own, 130 nt	single	87	snoRNA	6427	113206
VASA own, 130 nt	single	87	tRNA	67	113206
VASA own, 130 nt	single	88	MiscRna	1208	113718
VASA own, 130 nt	single	88	MtRrna	15	113718
VASA own, 130 nt	single	88	MtTrna	10	113718
VASA own, 130 nt	single	88	ProcessedPseudogene	305	113718
VASA own, 130 nt	single	88	ProteinCoding	97602	113718
VASA own, 130 nt	single	88	TEC	196	113718
VASA own, 130 nt	single	88	TranscribedProcessedPseudogene	74	113718
VASA own, 130 nt	single	88	TranscribedUnitaryPseudogene	31	113718
VASA own, 130 nt	single	88	TranscribedUnprocessedPseudogene	76	113718
VASA own, 130 nt	single	88	UnitaryPseudogene	8	113718
VASA own, 130 nt	single	88	UnprocessedPseudogene	10	113718
VASA own, 130 nt	single	88	lncRNA	15281	113718
VASA own, 130 nt	single	88	miRNA	428	113718
VASA own, 130 nt	single	88	rRNA	209	113718
VASA own, 130 nt	single	88	ribozyme	4565	113718
VASA own, 130 nt	single	88	scaRNA	227	113718
VASA own, 130 nt	single	88	snRNA	617	113718
VASA own, 130 nt	single	88	snoRNA	6237	113718
VASA own, 130 nt	single	88	tRNA	118	113718
VASA own, 130 nt	single	89	MiscRna	1208	116967
VASA own, 130 nt	single	89	MtRrna	22	116967
VASA own, 130 nt	single	89	MtTrna	12	116967
VASA own, 130 nt	single	89	ProcessedPseudogene	311	116967
VASA own, 130 nt	single	89	ProteinCoding	100915	116967
VASA own, 130 nt	single	89	TEC	193	116967
VASA own, 130 nt	single	89	TranscribedProcessedPseudogene	82	116967
VASA own, 130 nt	single	89	TranscribedUnitaryPseudogene	22	116967
VASA own, 130 nt	single	89	TranscribedUnprocessedPseudogene	68	116967
VASA own, 130 nt	single	89	UnitaryPseudogene	6	116967
VASA own, 130 nt	single	89	UnprocessedPseudogene	2	116967
VASA own, 130 nt	single	89	lncRNA	15496	116967
VASA own, 130 nt	single	89	miRNA	565	116967
VASA own, 130 nt	single	89	rRNA	184	116967
VASA own, 130 nt	single	89	ribozyme	5546	116967
VASA own, 130 nt	single	89	scaRNA	284	116967
VASA own, 130 nt	single	89	snRNA	698	116967
VASA own, 130 nt	single	89	snoRNA	5126	116967
VASA own, 130 nt	single	89	tRNA	88	116967
VASA own, 130 nt	single	90	MiscRna	2022	116679
VASA own, 130 nt	single	90	MtRrna	24	116679
VASA own, 130 nt	single	90	MtTrna	14	116679
VASA own, 130 nt	single	90	ProcessedPseudogene	329	116679
VASA own, 130 nt	single	90	ProteinCoding	101588	116679
VASA own, 130 nt	single	90	TEC	267	116679
VASA own, 130 nt	single	90	TranscribedProcessedPseudogene	73	116679
VASA own, 130 nt	single	90	TranscribedUnitaryPseudogene	33	116679
VASA own, 130 nt	single	90	TranscribedUnprocessedPseudogene	65	116679
VASA own, 130 nt	single	90	UnitaryPseudogene	8	116679
VASA own, 130 nt	single	90	UnprocessedPseudogene	15	116679
VASA own, 130 nt	single	90	lncRNA	13346	116679
VASA own, 130 nt	single	90	miRNA	479	116679
VASA own, 130 nt	single	90	rRNA	142	116679
VASA own, 130 nt	single	90	ribozyme	3302	116679
VASA own, 130 nt	single	90	scaRNA	291	116679
VASA own, 130 nt	single	90	snRNA	1031	116679
VASA own, 130 nt	single	90	snoRNA	4215	116679
VASA own, 130 nt	single	90	tRNA	47	116679
VASA own, 130 nt	single	91	MiscRna	3355	123952
VASA own, 130 nt	single	91	MtRrna	25	123952
VASA own, 130 nt	single	91	MtTrna	15	123952
VASA own, 130 nt	single	91	ProcessedPseudogene	308	123952
VASA own, 130 nt	single	91	ProteinCoding	103789	123952
VASA own, 130 nt	single	91	TEC	231	123952
VASA own, 130 nt	single	91	TranscribedProcessedPseudogene	84	123952
VASA own, 130 nt	single	91	TranscribedUnitaryPseudogene	23	123952
VASA own, 130 nt	single	91	TranscribedUnprocessedPseudogene	81	123952
VASA own, 130 nt	single	91	TranslatedUnprocessedPseudogene	1	123952
VASA own, 130 nt	single	91	UnitaryPseudogene	10	123952
VASA own, 130 nt	single	91	UnprocessedPseudogene	7	123952
VASA own, 130 nt	single	91	lncRNA	16972	123952
VASA own, 130 nt	single	91	miRNA	534	123952
VASA own, 130 nt	single	91	rRNA	177	123952
VASA own, 130 nt	single	91	ribozyme	6393	123952
VASA own, 130 nt	single	91	scaRNA	420	123952
VASA own, 130 nt	single	91	snRNA	1152	123952
VASA own, 130 nt	single	91	snoRNA	4348	123952
VASA own, 130 nt	single	91	tRNA	54	123952
VASA own, 130 nt	single	92	MiscRna	2954	127194
VASA own, 130 nt	single	92	MtRrna	26	127194
VASA own, 130 nt	single	92	MtTrna	15	127194
VASA own, 130 nt	single	92	ProcessedPseudogene	317	127194
VASA own, 130 nt	single	92	ProteinCoding	107229	127194
VASA own, 130 nt	single	92	TEC	214	127194
VASA own, 130 nt	single	92	TranscribedProcessedPseudogene	73	127194
VASA own, 130 nt	single	92	TranscribedUnitaryPseudogene	22	127194
VASA own, 130 nt	single	92	TranscribedUnprocessedPseudogene	70	127194
VASA own, 130 nt	single	92	UnitaryPseudogene	7	127194
VASA own, 130 nt	single	92	UnprocessedPseudogene	5	127194
VASA own, 130 nt	single	92	lncRNA	17185	127194
VASA own, 130 nt	single	92	miRNA	529	127194
VASA own, 130 nt	single	92	rRNA	194	127194
VASA own, 130 nt	single	92	ribozyme	4610	127194
VASA own, 130 nt	single	92	scaRNA	980	127194
VASA own, 130 nt	single	92	snRNA	1064	127194
VASA own, 130 nt	single	92	snoRNA	4529	127194
VASA own, 130 nt	single	92	tRNA	78	127194
VASA own, 130 nt	single	93	MiscRna	3194	125441
VASA own, 130 nt	single	93	MtRrna	21	125441
VASA own, 130 nt	single	93	MtTrna	12	125441
VASA own, 130 nt	single	93	ProcessedPseudogene	285	125441
VASA own, 130 nt	single	93	ProteinCoding	107793	125441
VASA own, 130 nt	single	93	TEC	192	125441
VASA own, 130 nt	single	93	TrCGene	1	125441
VASA own, 130 nt	single	93	TranscribedProcessedPseudogene	68	125441
VASA own, 130 nt	single	93	TranscribedUnitaryPseudogene	28	125441
VASA own, 130 nt	single	93	TranscribedUnprocessedPseudogene	91	125441
VASA own, 130 nt	single	93	UnitaryPseudogene	14	125441
VASA own, 130 nt	single	93	UnprocessedPseudogene	12	125441
VASA own, 130 nt	single	93	lncRNA	14890	125441
VASA own, 130 nt	single	93	miRNA	485	125441
VASA own, 130 nt	single	93	rRNA	177	125441
VASA own, 130 nt	single	93	ribozyme	3992	125441
VASA own, 130 nt	single	93	scaRNA	359	125441
VASA own, 130 nt	single	93	snRNA	839	125441
VASA own, 130 nt	single	93	snoRNA	4512	125441
VASA own, 130 nt	single	93	tRNA	94	125441
VASA own, 130 nt	single	94	MiscRna	4137	129356
VASA own, 130 nt	single	94	MtRrna	25	129356
VASA own, 130 nt	single	94	MtTrna	7	129356
VASA own, 130 nt	single	94	ProcessedPseudogene	267	129356
VASA own, 130 nt	single	94	ProteinCoding	109221	129356
VASA own, 130 nt	single	94	TEC	233	129356
VASA own, 130 nt	single	94	TranscribedProcessedPseudogene	87	129356
VASA own, 130 nt	single	94	TranscribedUnitaryPseudogene	20	129356
VASA own, 130 nt	single	94	TranscribedUnprocessedPseudogene	82	129356
VASA own, 130 nt	single	94	UnitaryPseudogene	11	129356
VASA own, 130 nt	single	94	UnprocessedPseudogene	14	129356
VASA own, 130 nt	single	94	lncRNA	16458	129356
VASA own, 130 nt	single	94	miRNA	522	129356
VASA own, 130 nt	single	94	rRNA	210	129356
VASA own, 130 nt	single	94	ribozyme	4526	129356
VASA own, 130 nt	single	94	scaRNA	677	129356
VASA own, 130 nt	single	94	snRNA	1052	129356
VASA own, 130 nt	single	94	snoRNA	4130	129356
VASA own, 130 nt	single	94	tRNA	63	129356
VASA own, 130 nt	single	95	MiscRna	4540	129830
VASA own, 130 nt	single	95	MtRrna	31	129830
VASA own, 130 nt	single	95	MtTrna	9	129830
VASA own, 130 nt	single	95	ProcessedPseudogene	315	129830
VASA own, 130 nt	single	95	ProteinCoding	111638	129830
VASA own, 130 nt	single	95	TEC	242	129830
VASA own, 130 nt	single	95	TrJGene	1	129830
VASA own, 130 nt	single	95	TranscribedProcessedPseudogene	71	129830
VASA own, 130 nt	single	95	TranscribedUnitaryPseudogene	41	129830
VASA own, 130 nt	single	95	TranscribedUnprocessedPseudogene	58	129830
VASA own, 130 nt	single	95	UnitaryPseudogene	7	129830
VASA own, 130 nt	single	95	UnprocessedPseudogene	7	129830
VASA own, 130 nt	single	95	lncRNA	14102	129830
VASA own, 130 nt	single	95	miRNA	587	129830
VASA own, 130 nt	single	95	rRNA	219	129830
VASA own, 130 nt	single	95	ribozyme	3507	129830
VASA own, 130 nt	single	95	scaRNA	246	129830
VASA own, 130 nt	single	95	snRNA	971	129830
VASA own, 130 nt	single	95	snoRNA	4715	129830
VASA own, 130 nt	single	95	tRNA	54	129830
VASA own, 130 nt	single	96	MiscRna	3544	128038
VASA own, 130 nt	single	96	MtRrna	20	128038
VASA own, 130 nt	single	96	ProcessedPseudogene	340	128038
VASA own, 130 nt	single	96	ProteinCoding	112307	128038
VASA own, 130 nt	single	96	TEC	214	128038
VASA own, 130 nt	single	96	TranscribedProcessedPseudogene	97	128038
VASA own, 130 nt	single	96	TranscribedUnitaryPseudogene	31	128038
VASA own, 130 nt	single	96	TranscribedUnprocessedPseudogene	47	128038
VASA own, 130 nt	single	96	UnitaryPseudogene	5	128038
VASA own, 130 nt	single	96	UnprocessedPseudogene	11	128038
VASA own, 130 nt	single	96	lncRNA	12495	128038
VASA own, 130 nt	single	96	miRNA	527	128038
VASA own, 130 nt	single	96	rRNA	219	128038
VASA own, 130 nt	single	96	ribozyme	3081	128038
VASA own, 130 nt	single	96	scaRNA	215	128038
VASA own, 130 nt	single	96	snRNA	935	128038
VASA own, 130 nt	single	96	snoRNA	5117	128038
VASA own, 130 nt	single	96	tRNA	51	128038
VASA own, 130 nt	single	97	MiscRna	6181	130636
VASA own, 130 nt	single	97	MtRrna	14	130636
VASA own, 130 nt	single	97	MtTrna	6	130636
VASA own, 130 nt	single	97	ProcessedPseudogene	307	130636
VASA own, 130 nt	single	97	ProteinCoding	112451	130636
VASA own, 130 nt	single	97	TEC	208	130636
VASA own, 130 nt	single	97	TranscribedProcessedPseudogene	83	130636
VASA own, 130 nt	single	97	TranscribedUnitaryPseudogene	34	130636
VASA own, 130 nt	single	97	TranscribedUnprocessedPseudogene	62	130636
VASA own, 130 nt	single	97	UnitaryPseudogene	11	130636
VASA own, 130 nt	single	97	UnprocessedPseudogene	10	130636
VASA own, 130 nt	single	97	lncRNA	12347	130636
VASA own, 130 nt	single	97	miRNA	746	130636
VASA own, 130 nt	single	97	rRNA	149	130636
VASA own, 130 nt	single	97	ribozyme	2383	130636
VASA own, 130 nt	single	97	scaRNA	199	130636
VASA own, 130 nt	single	97	snRNA	951	130636
VASA own, 130 nt	single	97	snoRNA	4876	130636
VASA own, 130 nt	single	97	tRNA	32	130636
VASA own, 130 nt	single	98	MiscRna	3477	132556
VASA own, 130 nt	single	98	MtRrna	16	132556
VASA own, 130 nt	single	98	MtTrna	1	132556
VASA own, 130 nt	single	98	ProcessedPseudogene	339	132556
VASA own, 130 nt	single	98	ProteinCoding	115753	132556
VASA own, 130 nt	single	98	TEC	203	132556
VASA own, 130 nt	single	98	TranscribedProcessedPseudogene	67	132556
VASA own, 130 nt	single	98	TranscribedUnitaryPseudogene	13	132556
VASA own, 130 nt	single	98	TranscribedUnprocessedPseudogene	77	132556
VASA own, 130 nt	single	98	UnitaryPseudogene	5	132556
VASA own, 130 nt	single	98	UnprocessedPseudogene	10	132556
VASA own, 130 nt	single	98	lncRNA	13724	132556
VASA own, 130 nt	single	98	miRNA	659	132556
VASA own, 130 nt	single	98	rRNA	170	132556
VASA own, 130 nt	single	98	ribozyme	2737	132556
VASA own, 130 nt	single	98	scaRNA	215	132556
VASA own, 130 nt	single	98	snRNA	1266	132556
VASA own, 130 nt	single	98	snoRNA	5450	132556
VASA own, 130 nt	single	98	tRNA	47	132556
VASA own, 130 nt	single	99	MiscRna	6044	134784
VASA own, 130 nt	single	99	MtRrna	27	134784
VASA own, 130 nt	single	99	MtTrna	4	134784
VASA own, 130 nt	single	99	ProcessedPseudogene	298	134784
VASA own, 130 nt	single	99	ProteinCoding	114360	134784
VASA own, 130 nt	single	99	TEC	271	134784
VASA own, 130 nt	single	99	TranscribedProcessedPseudogene	74	134784
VASA own, 130 nt	single	99	TranscribedUnitaryPseudogene	34	134784
VASA own, 130 nt	single	99	TranscribedUnprocessedPseudogene	86	134784
VASA own, 130 nt	single	99	UnitaryPseudogene	12	134784
VASA own, 130 nt	single	99	UnprocessedPseudogene	14	134784
VASA own, 130 nt	single	99	lncRNA	14547	134784
VASA own, 130 nt	single	99	miRNA	573	134784
VASA own, 130 nt	single	99	rRNA	143	134784
VASA own, 130 nt	single	99	ribozyme	3216	134784
VASA own, 130 nt	single	99	scaRNA	173	134784
VASA own, 130 nt	single	99	snRNA	1325	134784
VASA own, 130 nt	single	99	snoRNA	4990	134784
VASA own, 130 nt	single	99	tRNA	50	134784
VASA own, 130 nt	single	100	MiscRna	6191	136521
VASA own, 130 nt	single	100	MtRrna	27	136521
VASA own, 130 nt	single	100	MtTrna	7	136521
VASA own, 130 nt	single	100	ProcessedPseudogene	305	136521
VASA own, 130 nt	single	100	ProteinCoding	116143	136521
VASA own, 130 nt	single	100	TEC	241	136521
VASA own, 130 nt	single	100	TranscribedProcessedPseudogene	74	136521
VASA own, 130 nt	single	100	TranscribedUnitaryPseudogene	27	136521
VASA own, 130 nt	single	100	TranscribedUnprocessedPseudogene	63	136521
VASA own, 130 nt	single	100	UnitaryPseudogene	16	136521
VASA own, 130 nt	single	100	UnprocessedPseudogene	14	136521
VASA own, 130 nt	single	100	lncRNA	14205	136521
VASA own, 130 nt	single	100	miRNA	935	136521
VASA own, 130 nt	single	100	rRNA	141	136521
VASA own, 130 nt	single	100	ribozyme	2889	136521
VASA own, 130 nt	single	100	scaRNA	478	136521
VASA own, 130 nt	single	100	snRNA	1591	136521
VASA own, 130 nt	single	100	snoRNA	4823	136521
VASA own, 130 nt	single	100	tRNA	40	136521
VASA own, 130 nt	single	101	MiscRna	6007	140381
VASA own, 130 nt	single	101	MtRrna	20	140381
VASA own, 130 nt	single	101	MtTrna	6	140381
VASA own, 130 nt	single	101	ProcessedPseudogene	301	140381
VASA own, 130 nt	single	101	ProteinCoding	118692	140381
VASA own, 130 nt	single	101	TEC	269	140381
VASA own, 130 nt	single	101	TranscribedProcessedPseudogene	88	140381
VASA own, 130 nt	single	101	TranscribedUnitaryPseudogene	42	140381
VASA own, 130 nt	single	101	TranscribedUnprocessedPseudogene	91	140381
VASA own, 130 nt	single	101	UnitaryPseudogene	16	140381
VASA own, 130 nt	single	101	UnprocessedPseudogene	6	140381
VASA own, 130 nt	single	101	lncRNA	15599	140381
VASA own, 130 nt	single	101	miRNA	616	140381
VASA own, 130 nt	single	101	rRNA	140	140381
VASA own, 130 nt	single	101	ribozyme	3810	140381
VASA own, 130 nt	single	101	scaRNA	149	140381
VASA own, 130 nt	single	101	snRNA	1928	140381
VASA own, 130 nt	single	101	snoRNA	5500	140381
VASA own, 130 nt	single	101	tRNA	54	140381
VASA own, 130 nt	single	102	MiscRna	8863	143405
VASA own, 130 nt	single	102	MtRrna	46	143405
VASA own, 130 nt	single	102	MtTrna	4	143405
VASA own, 130 nt	single	102	ProcessedPseudogene	387	143405
VASA own, 130 nt	single	102	ProteinCoding	119567	143405
VASA own, 130 nt	single	102	TEC	251	143405
VASA own, 130 nt	single	102	TranscribedProcessedPseudogene	92	143405
VASA own, 130 nt	single	102	TranscribedUnitaryPseudogene	46	143405
VASA own, 130 nt	single	102	TranscribedUnprocessedPseudogene	92	143405
VASA own, 130 nt	single	102	UnitaryPseudogene	9	143405
VASA own, 130 nt	single	102	UnprocessedPseudogene	8	143405
VASA own, 130 nt	single	102	lncRNA	14703	143405
VASA own, 130 nt	single	102	miRNA	577	143405
VASA own, 130 nt	single	102	rRNA	155	143405
VASA own, 130 nt	single	102	ribozyme	2534	143405
VASA own, 130 nt	single	102	scaRNA	163	143405
VASA own, 130 nt	single	102	snRNA	1646	143405
VASA own, 130 nt	single	102	snoRNA	6148	143405
VASA own, 130 nt	single	102	tRNA	53	143405
VASA own, 130 nt	single	103	MiscRna	8451	147160
VASA own, 130 nt	single	103	MtRrna	24	147160
VASA own, 130 nt	single	103	MtTrna	7	147160
VASA own, 130 nt	single	103	ProcessedPseudogene	319	147160
VASA own, 130 nt	single	103	ProteinCoding	122354	147160
VASA own, 130 nt	single	103	TEC	260	147160
VASA own, 130 nt	single	103	TranscribedProcessedPseudogene	89	147160
VASA own, 130 nt	single	103	TranscribedUnitaryPseudogene	31	147160
VASA own, 130 nt	single	103	TranscribedUnprocessedPseudogene	96	147160
VASA own, 130 nt	single	103	UnitaryPseudogene	21	147160
VASA own, 130 nt	single	103	UnprocessedPseudogene	16	147160
VASA own, 130 nt	single	103	lncRNA	16281	147160
VASA own, 130 nt	single	103	miRNA	571	147160
VASA own, 130 nt	single	103	rRNA	160	147160
VASA own, 130 nt	single	103	ribozyme	3829	147160
VASA own, 130 nt	single	103	scaRNA	154	147160
VASA own, 130 nt	single	103	snRNA	1473	147160
VASA own, 130 nt	single	103	snoRNA	4713	147160
VASA own, 130 nt	single	103	tRNA	40	147160
VASA own, 130 nt	single	104	MiscRna	9561	150290
VASA own, 130 nt	single	104	MtRrna	37	150290
VASA own, 130 nt	single	104	MtTrna	7	150290
VASA own, 130 nt	single	104	ProcessedPseudogene	334	150290
VASA own, 130 nt	single	104	ProteinCoding	124829	150290
VASA own, 130 nt	single	104	TEC	270	150290
VASA own, 130 nt	single	104	TranscribedProcessedPseudogene	113	150290
VASA own, 130 nt	single	104	TranscribedUnitaryPseudogene	34	150290
VASA own, 130 nt	single	104	TranscribedUnprocessedPseudogene	102	150290
VASA own, 130 nt	single	104	UnitaryPseudogene	27	150290
VASA own, 130 nt	single	104	UnprocessedPseudogene	15	150290
VASA own, 130 nt	single	104	lncRNA	15524	150290
VASA own, 130 nt	single	104	miRNA	650	150290
VASA own, 130 nt	single	104	rRNA	161	150290
VASA own, 130 nt	single	104	ribozyme	2325	150290
VASA own, 130 nt	single	104	scaRNA	148	150290
VASA own, 130 nt	single	104	snRNA	1826	150290
VASA own, 130 nt	single	104	snoRNA	5467	150290
VASA own, 130 nt	single	104	tRNA	30	150290
VASA own, 130 nt	single	105	MiscRna	10081	153804
VASA own, 130 nt	single	105	MtRrna	33	153804
VASA own, 130 nt	single	105	MtTrna	8	153804
VASA own, 130 nt	single	105	ProcessedPseudogene	606	153804
VASA own, 130 nt	single	105	ProteinCoding	126851	153804
VASA own, 130 nt	single	105	TEC	253	153804
VASA own, 130 nt	single	105	TranscribedProcessedPseudogene	108	153804
VASA own, 130 nt	single	105	TranscribedUnitaryPseudogene	30	153804
VASA own, 130 nt	single	105	TranscribedUnprocessedPseudogene	58	153804
VASA own, 130 nt	single	105	UnitaryPseudogene	7	153804
VASA own, 130 nt	single	105	UnprocessedPseudogene	12	153804
VASA own, 130 nt	single	105	lncRNA	16117	153804
VASA own, 130 nt	single	105	miRNA	688	153804
VASA own, 130 nt	single	105	rRNA	149	153804
VASA own, 130 nt	single	105	ribozyme	1974	153804
VASA own, 130 nt	single	105	scaRNA	205	153804
VASA own, 130 nt	single	105	snRNA	2157	153804
VASA own, 130 nt	single	105	snoRNA	5739	153804
VASA own, 130 nt	single	105	tRNA	63	153804
